Links, Link Text, Paragraph Content <p>, Heading H1, Heading H2, Heading H3, Heading H4
https://www.pec.ac.in/,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | MoU signed between PEC and Bansal EnviroTech | MoU signed between PEC and KISCO India Private Limited (KIPL) | Homecoming 2020: First Annual Alumni Meet | Siemens Center of Excellence Inaugurated at PEC | Ban on Single Use Plastic/ Thermocol Items in Chandigarh | Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020. | Oldest Alum at Homecoming: 2020 | MOU Between PEC and PEDA | 98th Foundation Day | One week STC on Micro Manufacturing from 4th to 8th January 2021 | Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19 | Manual to Access pec.edu.in Email ID | As a precautionary measure against the spread of Corona Virus teaching shall remain suspended in the institute indefinitely. | Contribute to Covid Emergency Funds | Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. | Description Purpose and Guidelines of the Voyager Program | Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award | Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications | Webinar on ANSYS High Frequency Application in 5G Antenna | Two Days Workshop on Advanced Functional Materials (WAFM-2020) | Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020) | All Events | India 2020 Top Cited Paper | Web Development & Programming the IoT | Space Flight: Challenges & Opportunities | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020. | PEC welcomed Mr. Bikram Singh Garewal the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943 Mr.Bikram has gone on to achieve many great feats in life. | A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency Ministry of Power Govt. of India. | PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director PEC Prof. Dheeraj Sanghi. | One week STC on Micro Manufacturing from 4th to 8th January 2021 | Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19 | Manual to Access pec.edu.in Email ID | As a precautionary measure against the spread of Corona Virus teaching shall remain suspended in the institute indefinitely. | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Punjab Engineering College (Deemed to be University) Chandigarh | Distinguished Alumnus Award | Top Stories | Explore | Announcements | Important Links | Headlines | Connect | Recent Research Activities | Research | Academics | Facilities | Information,
https://www.pec.ac.in/#main-content,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | MoU signed between PEC and Bansal EnviroTech | MoU signed between PEC and KISCO India Private Limited (KIPL) | Homecoming 2020: First Annual Alumni Meet | Siemens Center of Excellence Inaugurated at PEC | Ban on Single Use Plastic/ Thermocol Items in Chandigarh | Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020. | Oldest Alum at Homecoming: 2020 | MOU Between PEC and PEDA | 98th Foundation Day | One week STC on Micro Manufacturing from 4th to 8th January 2021 | Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19 | Manual to Access pec.edu.in Email ID | As a precautionary measure against the spread of Corona Virus teaching shall remain suspended in the institute indefinitely. | Contribute to Covid Emergency Funds | Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. | Description Purpose and Guidelines of the Voyager Program | Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award | Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications | Webinar on ANSYS High Frequency Application in 5G Antenna | Two Days Workshop on Advanced Functional Materials (WAFM-2020) | Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020) | All Events | India 2020 Top Cited Paper | Web Development & Programming the IoT | Space Flight: Challenges & Opportunities | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020. | PEC welcomed Mr. Bikram Singh Garewal the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943 Mr.Bikram has gone on to achieve many great feats in life. | A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency Ministry of Power Govt. of India. | PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director PEC Prof. Dheeraj Sanghi. | One week STC on Micro Manufacturing from 4th to 8th January 2021 | Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19 | Manual to Access pec.edu.in Email ID | As a precautionary measure against the spread of Corona Virus teaching shall remain suspended in the institute indefinitely. | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Punjab Engineering College (Deemed to be University) Chandigarh | Distinguished Alumnus Award | Top Stories | Explore | Announcements | Important Links | Headlines | Connect | Recent Research Activities | Research | Academics | Facilities | Information,
https://alumni.pec.ac.in/,,,,,,
https://pec.ac.in/institute/email-services,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | -A | A | +A | Institute | History | Vision & Mission | Campus | Location | Top Stories | PEC Anthem | News & Events | Rules Guidelines & Forms | Office Orders | Tenders and Quotations | Job Openings | Quick Links | Alumni | Central Library | TEQIP III | Admissions | Placement | Tenders | Close modal | webmaster@pec.edu.in | Click here to Download Manual | New Email Server (mail.pec.edu.in) | Old Email Server (mail.pec.ac.in) | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Quick Links | Email Services are provided to Faculty Members and Students of the institute to quickly and easily send electronic files such as text documents photos and data sheets through an email. | Support: For queries email to : webmaster@pec.edu.in. | Steps to Access pec.edu.in Email: Click here to Download Manual | New Email Server (mail.pec.edu.in) | Old Email Server (mail.pec.ac.in) | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Institute | Research | Academics | Facilities | Information,
https://pec.ac.in/institute/email-services#main-content,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | -A | A | +A | Institute | History | Vision & Mission | Campus | Location | Top Stories | PEC Anthem | News & Events | Rules Guidelines & Forms | Office Orders | Tenders and Quotations | Job Openings | Quick Links | Alumni | Central Library | TEQIP III | Admissions | Placement | Tenders | Close modal | webmaster@pec.edu.in | Click here to Download Manual | New Email Server (mail.pec.edu.in) | Old Email Server (mail.pec.ac.in) | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Quick Links | Email Services are provided to Faculty Members and Students of the institute to quickly and easily send electronic files such as text documents photos and data sheets through an email. | Support: For queries email to : webmaster@pec.edu.in. | Steps to Access pec.edu.in Email: Click here to Download Manual | New Email Server (mail.pec.edu.in) | Old Email Server (mail.pec.ac.in) | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Institute | Research | Academics | Facilities | Information,
https://pec.ac.in/jobs,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | -A | A | +A | Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. | Institute | History | Vision & Mission | Campus | Location | Top Stories | PEC Anthem | News & Events | Rules Guidelines & Forms | Office Orders | Tenders and Quotations | Job Openings | Quick Links | Alumni | Central Library | TEQIP III | Admissions | Placement | Tenders | Close modal | Archive of Previous job Openings | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Quick Links | Archive of Previous job Openings | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Rolling Advertisement | Institute | Research | Academics | Facilities | Information,
https://pec.ac.in/jobs#main-content,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | -A | A | +A | Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. | Institute | History | Vision & Mission | Campus | Location | Top Stories | PEC Anthem | News & Events | Rules Guidelines & Forms | Office Orders | Tenders and Quotations | Job Openings | Quick Links | Alumni | Central Library | TEQIP III | Admissions | Placement | Tenders | Close modal | Archive of Previous job Openings | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Quick Links | Archive of Previous job Openings | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Rolling Advertisement | Institute | Research | Academics | Facilities | Information,
https://pec.ac.in/jobs#,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | -A | A | +A | Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. | Institute | History | Vision & Mission | Campus | Location | Top Stories | PEC Anthem | News & Events | Rules Guidelines & Forms | Office Orders | Tenders and Quotations | Job Openings | Quick Links | Alumni | Central Library | TEQIP III | Admissions | Placement | Tenders | Close modal | Archive of Previous job Openings | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Quick Links | Archive of Previous job Openings | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Rolling Advertisement | Institute | Research | Academics | Facilities | Information,
https://pec.ac.in/jobs#0,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | -A | A | +A | Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. | Institute | History | Vision & Mission | Campus | Location | Top Stories | PEC Anthem | News & Events | Rules Guidelines & Forms | Office Orders | Tenders and Quotations | Job Openings | Quick Links | Alumni | Central Library | TEQIP III | Admissions | Placement | Tenders | Close modal | Archive of Previous job Openings | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Quick Links | Archive of Previous job Openings | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Rolling Advertisement | Institute | Research | Academics | Facilities | Information,
https://pec.ac.in/jobs/archive,Skip to main content | Alumni | Webmail | Jobs | Tenders | Office Orders | NIRF | RTI | Placements | Contact Us | Home | Institute | History | Vision & Mission | Campus | Location | News and Events | Tenders & Quotations | Balance Sheets | Rules Guidelines & Forms | Faculty Affairs | IQAC Reports | Administration | Board Of Governors | Chairman Board of Governors | Director | Senate Members | Building & Works Committee | Finance Committee | Grievance Redressal Committee | Institute Functionaries | Minutes of Meetings | Programmes | Undergraduate | Postgraduate | Doctorate | Academic Support for Students | Accreditation | Scholarships | IQAC Reports | E-Academic Portal | Admissions | Academic Units | Departments | Centres | Research | Overview | Research Groups | Sponsored Research | In-House Projects | Consultancy | Courses and Conferences | Young Research Fellows Programme | Norms and Forms | Contacts | Campus Life | Students | Facilities | Online Fee Payment | -A | A | +A | Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. | Institute | History | Vision & Mission | Campus | Location | Top Stories | PEC Anthem | News & Events | Rules Guidelines & Forms | Office Orders | Tenders and Quotations | Job Openings | Quick Links | Alumni | Central Library | TEQIP III | Admissions | Placement | Tenders | Close modal | Click Here to View Details | Click Here to View Details | Click Here to View Details | Click Here to View Details | Click Here to View Details | Click Here to View Details | Click Here to View Details | Click Here to View Details | Click Here to View Details | Click Here to View Details | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | … | next › | Overview | Research Groups | Sponsored Research | Consultancy | Collaborations | In-House Projects | Time Tables | Examination | Academic Calendar | Undergraduate Programme | Postgraduate Programme | PhD Programme | Library | Computer Centre | Sports | Hostels | Medical Facility | Workshops | E-Notices | Multimedia | Brochure & Prospectus | CRIKC | Sexual Harassment Complaints | Website Credits | Web Editor | Anti-Ragging | Privacy Statement | Report Copyright Infringement,Quick Links | Dean Infrastructure Planning & Estate PEC intends to engage 01 No. University Engineer & 01 No. Junior Engineer Civil background for Estate Office. Last date to receive the applications is 14.09.2020. | Applications are invited from Indian national candidates for JRF under one sponsored research project titled “Machine Learning for prediction of Avalanche” | Note: The last date of receiving of applications is extended till 18.9.2020. The date for conducting an online interview will be communicated with candidates through email. | Chairman (Estate & Works) PEC intends to engage 02 Nos of Junior Engineers with Civil and Electrical Engineering Background for Estate Office. Last date to receive the applications is 11.02.2020. | Applications are invited from Indian national candidates for the following posts under one sponsored research project titled “Early warning system for flood prediction in river basins of India”: | Applications are invited for engagement of faculty positions in Cyber Security Research Centre on contractual basis for the academic semester 2019-20(2) or till the post is filled with permanent faculty appointment whichever is earlier. | Applications are invited for engagement of faculty positions on contractual basis for the academic semester 2019-20(2) or till the post is filled with permanent faculty appointment whichever is earlier. | Walk-in interview for following positions available in a Research project funded by Ministry of Steel | Applications for walk-in interviews are invited for the post of Multi – Tasking Supporting Staff for a period of 03 years to work in the O/o Dean Alumni Corporate & International Relations | Walk-in interview for following positions available in a Research project funded by DST Delhi in the area of Focused Web Crawling: | Walk-in interview for apprenticeship training in the PEC library for one year as per Board of Apprenticeship Training Guideleines. | Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012,,,Rolling Advertisement | Institute | Research | Academics | Facilities | Information,
